robo,data,ativo,lado,resultado,resultado_pct,hora,estrategia,lote,resultado_bruto,custos
alaska-&-square,2018-08-21,WIN,VENDA,264.00,0,14:07:40,Reversao,16,264.00,0
alaska-&-square,2018-08-22,WIN,VENDA,-920.00,0,12:12:20,Reversao,16,-920.00,0
alaska-&-square,2018-08-22,WIN,VENDA,264.00,0,13:13:40,Reversao,16,264.00,0
alaska-&-square,2018-08-23,WIN,VENDA,80.00,0,11:04:40,Reversao,4,80.00,0
alaska-&-square,2018-08-23,WIN,VENDA,80.00,0,16:30:40,Reversao,4,80.00,0
alaska-&-square,2018-08-24,WIN,VENDA,264.00,0,10:48:40,Reversao,16,264.00,0
alaska-&-square,2018-08-24,WIN,VENDA,-920.00,0,12:51:20,Reversao,16,-920.00,0
alaska-&-square,2018-08-24,WIN,VENDA,-40.00,0,16:23:40,Reversao,16,-40.00,0
alaska-&-square,2018-08-27,WIN,VENDA,264.00,0,16:13:20,Reversao,16,264.00,0
alaska-&-square,2018-08-28,WIN,VENDA,80.00,0,11:12:40,Reversao,4,80.00,0
alaska-&-square,2018-08-28,WIN,VENDA,264.00,0,13:28:40,Reversao,16,264.00,0
alaska-&-square,2018-08-28,WIN,VENDA,80.00,0,16:08:40,Reversao,4,80.00,0
alaska-&-square,2018-08-29,WIN,VENDA,-920.00,0,10:12:20,Reversao,16,-920.00,0
alaska-&-square,2018-08-29,WIN,VENDA,80.00,0,14:35:40,Reversao,4,80.00,0
alaska-&-square,2018-08-30,WIN,VENDA,80.00,0,15:18:40,Reversao,4,80.00,0
alaska-&-square,2018-08-31,WIN,VENDA,80.00,0,12:10:40,Reversao,4,80.00,0
alaska-&-square,2018-08-31,WIN,VENDA,-920.00,0,14:31:40,Reversao,16,-920.00,0
alaska-&-square,2018-08-31,WIN,VENDA,80.00,0,15:18:40,Reversao,4,80.00,0
alaska-&-square,2018-09-03,WIN,VENDA,80.00,0,11:08:20,Reversao,4,80.00,0
alaska-&-square,2018-09-04,WIN,VENDA,80.00,0,10:37:40,Reversao,4,80.00,0
alaska-&-square,2018-09-05,WIN,VENDA,40.00,0,16:59:20,Reversao,16,40.00,0
alaska-&-square,2018-09-06,WIN,VENDA,80.00,0,11:06:40,Reversao,4,80.00,0
